id,student_id,academic_year,formation_id,bloc_id,course_id,course_title,course_ects,course_period,course_id_1,course_session_jan,course_session_jun,course_session_sep,component_code,component_title,component_weight,component_session_jan,component_session_jun,component_session_sep,
1,25363,2025-2026,ingenieur_industriel_commercial,bloc_5,4eial40,Architecture and software quality,4,Q1,135,2,7,12,4eial4T,Architecture logicielle,100,3,9,12,3
2,25363,2025-2026,ingenieur_industriel_commercial,bloc_5,4eiam40,Mobile development,3,Q2,136,2,7,12,4eiam4C,Applications mobiles et laboratoires,100,3,9,12,3
3,25363,2025-2026,ingenieur_industriel_commercial,bloc_5,4eiaw40,Web Architecture,4,Q2,137,2,7,12,4eiaw4L,Applications et services web,100,3,9,12,3
4,25363,2025-2026,ingenieur_industriel_commercial,bloc_5,4eidb40,Database management system,4,Q1,138,2,7,12,4eidb4L,Base de données,100,3,9,12,3
5,25363,2025-2026,ingenieur_industriel_commercial,bloc_5,4eidb40,Database management system,4,Q1,138,2,7,12,4eidb4T,Nosql,100,3,9,12,3
6,25363,2025-2026,ingenieur_industriel_commercial,bloc_5,4einm40,Network management,5,Q2,139,2,7,12,4einm4C,Réseaux et labo admin. réseaux,100,3,9,12,3
7,25363,2025-2026,ingenieur_industriel_commercial,bloc_5,4eisa40,GPU computing,6,Q1,140,2,7,12,4eisa4L,"Programmation parallèle, OpenGL",100,3,9,12,3
8,25363,2025-2026,ingenieur_industriel_commercial,bloc_5,4eisa40,GPU computing,6,Q1,140,2,7,12,4eisa4T,Algorithmique,100,3,9,12,3
9,25363,2025-2026,ingenieur_industriel_commercial,bloc_5,4eisa40,GPU computing,6,Q1,140,2,7,12,4eitm4L,Traitement des images,100,3,9,12,3
10,25363,2025-2026,ingenieur_industriel_commercial,bloc_5,4eoai40,Artificial Intelligence,5,Q2,118,2,7,12,4eoai4B,Artificial intelligence,100,3,9,12,3
11,25363,2025-2026,ingenieur_industriel_commercial,bloc_5,4eoai40,Artificial Intelligence,5,Q2,118,2,7,12,4eoai4C,Machine learning,100,3,9,12,3
12,25363,2025-2026,ingenieur_industriel_commercial,bloc_5,4eore40,Computer Networks,5,Q1,124,2,7,12,4eobs4T,Bus de terrain,100,3,9,12,3
13,25363,2025-2026,ingenieur_industriel_commercial,bloc_5,4eore40,Computer Networks,5,Q1,124,2,7,12,4eocr4T,Concepts réseaux,100,3,9,12,3
14,25363,2025-2026,ingenieur_industriel_commercial,bloc_5,4eore40,Computer Networks,5,Q1,124,2,7,12,4eore4L,Labo réseaux et simulation,100,3,9,12,3
15,25363,2025-2026,ingenieur_industriel_commercial,bloc_5,5eisd50,Computer security,4,Q1,146,2,7,12,5eisd5L,Laboratoire sécurité logicielle,100,3,9,12,3
16,25363,2025-2026,ingenieur_industriel_commercial,bloc_5,5eisd50,Computer security,4,Q1,146,2,7,12,5eisd5T,Computer security,50,3,9,12,3
17,25363,2025-2026,ingenieur_industriel_commercial,bloc_5,5eitf50,Travail de fin d'études,20,"Q1,Q2",999,2,7,12,5matf5X,TFE 100%,100,3,9,12,3
18,21523,2024-2025,informatique,bloc_3,3base30,Comptabilité et entrepreneuriat,5,"Q1,Q2",376,15,7,12,SE3C-T1-2015,Comptabilité,75,15,9,12,3
19,21523,2024-2025,informatique,bloc_3,3basg30,Stage,10,Q2,377,15,7,12,SG3B-B1,Stage,100,15,9,12,3
20,21523,2024-2025,informatique,bloc_3,3beal30,Electronic design,5,Q1,378,15,7,12,AL3L-L1-2017,Labo d'électronique analogique,100,15,9,12,3
21,21523,2024-2025,informatique,bloc_3,3beal30,Electronic design,5,Q1,378,15,7,12,EA3T-T1-2015,Electronique analogique,100,15,9,12,3
22,21523,2024-2025,informatique,bloc_3,3beal30,Electronic design,5,Q1,378,15,7,12,SC3C-L2-2025,Labo simulation de circuits,100,15,9,12,3
23,21523,2024-2025,informatique,bloc_3,3bect30,Control Theory and applications,3,Q2,379,5,7,17,AU3C-L1-2022,Control Theory applications,100,5,9,12,3
24,21523,2024-2025,informatique,bloc_3,3bect30,Control Theory and applications,3,Q2,379,5,7,17,AU3C-T1-2022,Control Theory,100,5,9,12,3
25,21523,2024-2025,informatique,bloc_3,3beee30,Embedded systems,4,Q2,380,15,7,17,EE3C-L1-2017,Labo d'électronique embarquée,100,15,9,12,3
26,21523,2024-2025,informatique,bloc_3,3beee30,Embedded systems,4,Q2,380,15,7,17,EE3C-T1-2017,Electronique embarquée,100,15,9,12,3
27,21523,2024-2025,informatique,bloc_3,3been30,Microcontroller and logic design,6,Q1,381,15,17,17,EN3C-L2-2017,Programmation C,20,15,9,12,3
28,21523,2024-2025,informatique,bloc_3,3befe30,Fundamentals of electrical engineering,3,Q2,382,15,17,17,BE3T-T1-2015,Fundamentals of electrical engineering - théorie,100,15,9,12,3
29,21523,2024-2025,informatique,bloc_3,3befe30,Fundamentals of electrical engineering,3,Q2,382,15,17,17,BE3T-X1-2023,Fundamentals of electrical engineering - exercices,100,15,9,12,3
30,21523,2024-2025,informatique,bloc_3,3bepe30,PCB design,5,"Q1,Q2",383,15,17,17,PE3C-L2-2017,Labo mesures,40,15,9,12,3
31,21523,2024-2025,informatique,bloc_3,3bepe30,PCB design,5,"Q1,Q2",383,15,17,17,PE3C-T2-2015,Mesures,40,15,9,12,3
32,21523,2024-2025,informatique,bloc_3,3bepi30,Software engineering 2,3,"Q1,Q2",384,15,17,17,PG3L-L1-2018,Projet génie logiciel,100,15,9,12,3
33,21523,2024-2025,informatique,bloc_3,3bepo30,Software engineering 1,7,Q1,385,15,5,12,PO3T-T1-2015,Programmation orientée objet,25,15,9,12,3
34,21523,2024-2025,informatique,bloc_3,3bess30,"Signals, systems and telecommunications",5,"Q1,Q2",386,15,5,12,TT3C-L1-2022,Telecommunications Technology,40,15,9,12,3
35,21523,2024-2025,informatique,bloc_3,3betw30,Network and web technologies,4,Q1,387,15,5,12,TW3T-T1-2018,Introduction aux réseaux,25,15,9,12,3
36,21523,2025-2026,informatique,bloc_4,4eiai40,Artificial Intelligence,6,Q2,134,15,5,12,IA4L-L1-2021,AI Lab,40,15,9,12,3
37,21523,2025-2026,informatique,bloc_4,4eiai40,Artificial Intelligence,6,Q2,134,15,5,12,IA4L-L2-2022,Advanced AI Lab,40,15,9,12,3
38,21523,2025-2026,informatique,bloc_4,4eial40,Architecture and software quality,4,Q1,135,15,5,12,AL4T-T1-2017,Software Architecture,100,15,9,12,3
39,21523,2025-2026,informatique,bloc_4,4eial40,Architecture and software quality,4,Q1,135,15,5,12,DD4L-L1-2017,Software Architecture and Quality Lab,100,15,9,12,3
40,21523,2025-2026,informatique,bloc_4,4eiam40,Mobile development,3,Q2,136,15,5,12,AM4L-L1-2018,Mobile Applications Lab,100,15,9,12,3
41,21523,2025-2026,informatique,bloc_4,4eiam40,Mobile development,3,Q2,136,15,5,12,AM4L-T1-2016,Mobile Applications,100,15,9,12,3
42,21523,2025-2026,informatique,bloc_4,4eiaw40,Web Architecture,4,Q2,137,15,5,12,AW4L-L1-2016,Architectures web,100,15,9,12,3
43,21523,2025-2026,informatique,bloc_4,4eidb40,Database management system,4,Q1,138,15,5,12,DB4L-L2-2025,"Realtime DB, NoSql, XML",40,15,9,12,3
44,21523,2025-2026,informatique,bloc_4,4einm40,Network management,5,Q2,139,15,5,12,IR4C-L1-2018,Labo administration réseaux,100,15,9,12,3
45,21523,2025-2026,informatique,bloc_4,4einm40,Network management,5,Q2,139,15,5,12,IR4C-T1-2018,Administration réseaux,100,15,9,12,3
46,21523,2025-2026,informatique,bloc_4,4eisa40,GPU computing,6,Q1,140,15,5,12,TI4L-L1-2018,Image Processing Lab,33,15,9,12,3
47,21523,2025-2026,informatique,bloc_4,4eisd40,System on chip,3,Q2,141,15,5,12,SD4L-L1-2016,Device Drivers Lab,100,15,9,12,3
48,21523,2025-2026,informatique,bloc_4,4eisd40,System on chip,3,Q2,141,15,5,12,SD4T-T1-2018,Device Drivers,100,15,9,12,3
49,21523,2025-2026,informatique,bloc_4,4eope40,Embedded Project,9,"Q1,Q2",389,15,5,12,PR4L-L1-2019,Robotic project specifications,40,15,9,12,3
50,21523,2025-2026,informatique,bloc_4,4eope40,Embedded Project,9,"Q1,Q2",389,15,5,12,RP4L-L1-2019,Mechatronics Laboratory,40,15,9,12,3
51,21523,2025-2026,informatique,bloc_4,4eope40,Embedded Project,9,"Q1,Q2",389,15,5,12,RP4L-L2-2025,Robotic project specifications - Autonomy,40,15,9,12,3
52,21523,2025-2026,informatique,bloc_4,4eore40,Computer Networks,5,Q1,390,15,5,12,RE4L-L2-2016,Computer Network Lab,30,15,9,12,3
53,21523,2025-2026,informatique,bloc_4,4eosi40,Hardware Testing Processes,2,Q1,391,15,5,12,SI4C-L1-2025,Hardware Testing Processes,100,15,9,12,3
54,21523,2025-2026,informatique,bloc_4,4eisa40,GPU computing,6,Q1,392,15,5,12,TI4L-L1-2018,Image Processing Lab,33,15,9,12,3
